DATE,rainfall,Price,temp,monthrf,monthtp,trade
2016-01-02,0,42658,5.1,1.816129032,0.441935484,132340
2016-01-03,0,41863,4.8,1.816129032,0.441935484,132340
2016-01-04,0,42824,5.5,1.816129032,0.441935484,132340
2016-01-05,2.2,42790,1.2,1.816129032,0.441935484,105760
2016-01-06,0,42790,2.9,1.816129032,0.441935484,105760
2016-01-07,0,42968,2.4,1.816129032,0.441935484,154100
2016-01-08,0,42846,1.9,1.816129032,0.441935484,97460
2016-01-09,0,42846,0.4,1.816129032,0.441935484,139160
2016-01-10,0,42846,1.4,1.816129032,0.441935484,155280
2016-01-11,0,42717,1.6,1.816129032,0.441935484,147880
2016-01-12,0,42680,0.2,1.816129032,0.441935484,134040
2016-01-13,0.3,42680,0.4,1.816129032,0.441935484,134040
2016-01-14,0,42510,0.5,1.816129032,0.441935484,187820
2016-01-15,0,42485,0.1,1.816129032,0.441935484,177600
2016-01-16,0,42485,2.1,1.816129032,0.441935484,113980
2016-01-17,12.1,42485,4,1.816129032,0.441935484,142400
2016-01-18,0.5,42485,-0.5,1.816129032,0.441935484,169960
2016-01-19,1.7,42485,-3.9,1.816129032,0.441935484,154120
2016-01-20,0,42485,-3,1.816129032,0.441935484,154120
2016-01-21,0,42583,-2.6,1.816129032,0.441935484,172760
2016-01-22,0,42576,-2.2,1.816129032,0.441935484,149320
2016-01-23,2.2,42576,-5.7,1.816129032,0.441935484,141100
2016-01-24,2.7,42576,-7.4,1.816129032,0.441935484,158940
2016-01-25,0.4,42576,-3.3,1.816129032,0.441935484,62120
2016-01-26,0,42576,-1,1.816129032,0.441935484,62120
2016-01-27,0,42576,-0.3,1.816129032,0.441935484,62120
2016-01-28,15.8,42478,2.2,1.816129032,0.441935484,62120
2016-01-29,18.4,42478,3,1.816129032,0.441935484,75700
2016-01-30,0,42478,2.7,1.816129032,0.441935484,137760
2016-01-31,0,42478,0,1.816129032,0.441935484,128520
2016-02-01,0,42478,-1.8,0.831034483,2.437931034,89760
2016-02-02,0,42478,-2.1,0.831034483,2.437931034,66860
2016-02-03,0,42576,-1.6,0.831034483,2.437931034,66860
2016-02-04,0,42576,-0.3,0.831034483,2.437931034,90340
2016-02-05,0,42576,0.5,0.831034483,2.437931034,137140
2016-02-06,0.2,42576,-0.9,0.831034483,2.437931034,110180
2016-02-07,0,42576,-0.7,0.831034483,2.437931034,119420
2016-02-08,0,42576,2.1,0.831034483,2.437931034,60860
2016-02-09,0,42576,1.9,0.831034483,2.437931034,61640
2016-02-10,0,42576,2.9,0.831034483,2.437931034,61640
2016-02-11,0.1,42576,11,0.831034483,2.437931034,114360
2016-02-12,13,41795,14.3,0.831034483,2.437931034,62800
2016-02-13,8.8,41795,13,0.831034483,2.437931034,107480
2016-02-14,0.1,41795,0.6,0.831034483,2.437931034,127080
2016-02-15,0,41273,-2.1,0.831034483,2.437931034,139480
2016-02-16,0,41273,1.4,0.831034483,2.437931034,64720
2016-02-17,0,41305,1.1,0.831034483,2.437931034,64720
2016-02-18,0,41937,1.6,0.831034483,2.437931034,132820
2016-02-19,0,42456,4.9,0.831034483,2.437931034,112580
2016-02-20,0,42456,3,0.831034483,2.437931034,93820
2016-02-21,0,42456,1,0.831034483,2.437931034,101200
2016-02-22,0,42456,2.5,0.831034483,2.437931034,111600
2016-02-23,0,42456,3.3,0.831034483,2.437931034,148900
2016-02-24,0,42554,-1,0.831034483,2.437931034,148900
2016-02-25,0,42546,-0.7,0.831034483,2.437931034,139520
2016-02-26,0,42546,2.8,0.831034483,2.437931034,140440
2016-02-27,0,42546,7.6,0.831034483,2.437931034,140580
2016-02-28,1.3,42546,7.3,0.831034483,2.437931034,118440
2016-02-29,0.6,42556,-0.9,0.831034483,2.437931034,89600
2016-03-01,0,42556,-0.8,3.022580645,6.606451613,89600
2016-03-02,0,42463,1.2,3.022580645,6.606451613,39100
2016-03-03,0,42466,8,3.022580645,6.606451613,39100
2016-03-04,23.3,42466,13.3,3.022580645,6.606451613,78380
2016-03-05,36,42466,15,3.022580645,6.606451613,89000
2016-03-06,0,42466,9,3.022580645,6.606451613,81980
2016-03-07,0,42393,10.3,3.022580645,6.606451613,113840
2016-03-08,20.7,42393,5.4,3.022580645,6.606451613,136100
2016-03-09,3.3,42393,1.6,3.022580645,6.606451613,89680
2016-03-10,0,40246,0.8,3.022580645,6.606451613,89680
2016-03-11,0,40220,0.8,3.022580645,6.606451613,101180
2016-03-12,0,40220,2.9,3.022580645,6.606451613,106120
2016-03-13,0,40220,4.4,3.022580645,6.606451613,60400
2016-03-14,0,40220,3.8,3.022580645,6.606451613,104900
2016-03-15,0,40220,4.3,3.022580645,6.606451613,111600
2016-03-16,0,40210,7.6,3.022580645,6.606451613,83720
2016-03-17,0.9,42332,9.9,3.022580645,6.606451613,83720
2016-03-18,9.5,41478,11.9,3.022580645,6.606451613,135640
2016-03-19,0,41478,8.6,3.022580645,6.606451613,81320
2016-03-20,0,41478,6.6,3.022580645,6.606451613,77000
2016-03-21,0,41507,7.6,3.022580645,6.606451613,105680
2016-03-22,0,41507,6.7,3.022580645,6.606451613,95680
2016-03-23,0,41507,7.2,3.022580645,6.606451613,86880
2016-03-24,0,42441,6.1,3.022580645,6.606451613,86880
2016-03-25,0,42441,4.5,3.022580645,6.606451613,97640
2016-03-26,0,42441,3.8,3.022580645,6.606451613,98180
2016-03-27,0,42441,4.5,3.022580645,6.606451613,103140
2016-03-28,0,42385,6.2,3.022580645,6.606451613,120220
2016-03-29,0,42385,11.2,3.022580645,6.606451613,118400
2016-03-30,0,42385,11.5,3.022580645,6.606451613,131160
2016-03-31,0,41434,10.9,3.022580645,6.606451613,131160
2016-04-01,0,41434,11.9,5.667741935,13.24516129,152580
2016-04-02,0,41434,12.8,5.667741935,13.24516129,113360
2016-04-03,7.5,41434,13,5.667741935,13.24516129,75560
2016-04-04,2.2,41434,12.2,5.667741935,13.24516129,80120
2016-04-05,0,41368,10.4,5.667741935,13.24516129,79380
2016-04-06,9,41368,10.5,5.667741935,13.24516129,95040
2016-04-07,15.4,39900,12,5.667741935,13.24516129,95040
2016-04-08,0,39900,12.7,5.667741935,13.24516129,103360
2016-04-09,0,39900,13.3,5.667741935,13.24516129,118700
2016-04-10,0,39900,13.6,5.667741935,13.24516129,93840
2016-04-11,0,39790,12.2,5.667741935,13.24516129,74320
2016-04-12,0,39790,12.6,5.667741935,13.24516129,78700
2016-04-13,7.4,39790,16,5.667741935,13.24516129,47720
2016-04-14,0,40339,13.4,5.667741935,13.24516129,47720
2016-04-15,0,40371,13.9,5.667741935,13.24516129,99080
2016-04-16,43.5,40371,15.9,5.667741935,13.24516129,67020
2016-04-17,0.1,40371,11.8,5.667741935,13.24516129,123800
2016-04-18,0,40549,12.2,5.667741935,13.24516129,114140
2016-04-19,0,40549,12.4,5.667741935,13.24516129,88160
2016-04-20,0.5,40451,14,5.667741935,13.24516129,58880
2016-04-21,29,40566,14.4,5.667741935,13.24516129,58880
2016-04-22,0,40571,14.3,5.667741935,13.24516129,77780
2016-04-23,0,40571,15.2,5.667741935,13.24516129,82760
2016-04-24,0,40571,13.9,5.667741935,13.24516129,86600
2016-04-25,0,40571,14.8,5.667741935,13.24516129,111220
2016-04-26,6.9,40571,14.7,5.667741935,13.24516129,84900
2016-04-27,48.8,40571,13,5.667741935,13.24516129,66140
2016-04-28,5.4,40312,13.3,5.667741935,13.24516129,66140
2016-04-29,0,40312,13.1,5.667741935,13.24516129,90460
2016-04-29,0,40312,13.1,5.667741935,13.24516129,70640
2016-04-30,0,40312,14,5.667741935,13.24516129,73260
2016-05-01,0,40312,16.5,3.6,17.84193548,100720
2016-05-02,17.2,40312,18.3,3.6,17.84193548,99180
2016-05-03,20.8,40312,15.2,3.6,17.84193548,39800
2016-05-04,0,39554,14.4,3.6,17.84193548,39800
2016-05-05,0.9,39554,16.3,3.6,17.84193548,73080
2016-05-06,0.3,39554,17.8,3.6,17.84193548,73780
2016-05-07,0,39554,16.2,3.6,17.84193548,45640
2016-05-08,0,39554,16.2,3.6,17.84193548,40600
2016-05-09,2.4,39595,15.5,3.6,17.84193548,90340
2016-05-10,19.8,39595,13.8,3.6,17.84193548,87880
2016-05-11,0,39595,15.5,3.6,17.84193548,87880
2016-05-12,0,40229,16.4,3.6,17.84193548,100760
2016-05-13,0,40034,16,3.6,17.84193548,77500
2016-05-14,0,40034,17.5,3.6,17.84193548,108500
2016-05-15,8.1,40034,19,3.6,17.84193548,141440
2016-05-16,5.2,40034,14.1,3.6,17.84193548,85240
2016-05-17,0,40034,16.7,3.6,17.84193548,30760
2016-05-18,0,40034,19.3,3.6,17.84193548,30760
2016-05-19,0,40010,18.8,3.6,17.84193548,98420
